Año;Mes;Lote;Residuo;Distrito;Nombre Distrito;Toneladas
2021;enero;1;RESTO;1;Centro;3477,92
2021;enero;1;RESTO;6;Tetuán;2701,32
2021;enero;1;RESTO;7;Chamberí;2403,34
2021;enero;1;RESTO;8;Fuencarral - El Pardo;4017,66
2021;enero;1;RESTO;9;Moncloa - Aravaca;2873,78
2021;enero;1;RESTO;10;Latina;4140,12
2021;enero;1;ENVASES;1;Centro;189,1
2021;enero;1;ENVASES;6;Tetuán;255,4
2021;enero;1;ENVASES;7;Chamberí;212,94
2021;enero;1;ENVASES;8;Fuencarral - El Pardo;511,12
2021;enero;1;ENVASES;9;Moncloa - Aravaca;231,74
2021;enero;1;ENVASES;10;Latina;388,32
2021;enero;1;VIDRIO;1;Centro;485,1
2021;enero;1;VIDRIO;6;Tetuán;225,56
2021;enero;1;VIDRIO;7;Chamberí;225,28
2021;enero;1;VIDRIO;8;Fuencarral - El Pardo;440,3
2021;enero;1;VIDRIO;9;Moncloa - Aravaca;207,18
2021;enero;1;VIDRIO;10;Latina;223,04
2021;enero;1;VIDRIO COMERCIAL;1;Centro;20,08
2021;enero;1;CLINICOS;1;Centro;142,62
2021;enero;1;CLINICOS;6;Tetuán;12,92
2021;enero;1;CLINICOS;8;Fuencarral - El Pardo;271,96
2021;enero;1;CLINICOS;9;Moncloa - Aravaca;210,3
2021;enero;1;CLINICOS;10;Latina;21,74
2021;enero;1;ORGANICA;1;Centro;399,22
2021;enero;1;ORGANICA;6;Tetuán;538,04
2021;enero;1;ORGANICA;7;Chamberí;523,76
2021;enero;1;ORGANICA;8;Fuencarral - El Pardo;1013,38
2021;enero;1;ORGANICA;9;Moncloa - Aravaca;618,82
2021;enero;1;ORGANICA;10;Latina;838,08
2021;enero;1;PAPEL-CARTON;1;Centro;320,59
2021;enero;1;PAPEL-CARTON;6;Tetuán;315,24
2021;enero;1;PAPEL-CARTON;7;Chamberí;268,95
2021;enero;1;PAPEL-CARTON;8;Fuencarral - El Pardo;582,79
2021;enero;1;PAPEL-CARTON;9;Moncloa - Aravaca;252,85
2021;enero;1;PAPEL-CARTON;10;Latina;317,05
2021;enero;1;CARTON COMERCIAL;1;Centro;94,32
2021;enero;1;CARTON COMERCIAL;6;Tetuán;56,2
2021;enero;1;CARTON COMERCIAL;7;Chamberí;62,2
2021;enero;1;CARTON COMERCIAL;8;Fuencarral - El Pardo;1,6
2021;enero;1;CARTON COMERCIAL;9;Moncloa - Aravaca;1,68
2021;enero;1;CARTON COMERCIAL;10;Latina;3,38
2021;enero;1;RCD;1;Centro;56,795
2021;enero;1;RCD;6;Tetuán;33,08
2021;enero;1;RCD;7;Chamberí;34,83
2021;enero;1;RCD;8;Fuencarral - El Pardo;59,325
2021;enero;1;RCD;9;Moncloa - Aravaca;180,275
2021;enero;1;RCD;10;Latina;51,44
2021;enero;1;PUNTOS LIMPIOS;8;Fuencarral - El Pardo;92,68
2021;enero;1;PUNTOS LIMPIOS;9;Moncloa - Aravaca;170,6
2021;enero;1;PUNTOS LIMPIOS;10;Latina;146,08
2021;enero;1;CONTENEDORES DE ROPA;10;Latina;0,18
2021;enero;1;CAMA DE CABALLO;9;Moncloa - Aravaca;54,45
2021;enero;2;RESTO;3;Retiro;1816,36
2021;enero;2;RESTO;4;Salamanca;2642,92
2021;enero;2;RESTO;5;Chamartín;2513,56
2021;enero;2;RESTO;14;Moratalaz;1461
2021;enero;2;RESTO;15;Ciudad Lineal;3582,04
2021;enero;2;RESTO;16;Hortaleza;3416,4
2021;enero;2;RESTO;19;Vicálvaro;1877,86
2021;enero;2;RESTO;20;San Blas - Canillejas;2696,5
2021;enero;2;RESTO;21;Barajas;958,86
2021;enero;2;ENVASES;3;Retiro;171
2021;enero;2;ENVASES;4;Salamanca;198,58
2021;enero;2;ENVASES;5;Chamartín;212,5
2021;enero;2;ENVASES;14;Moratalaz;196,9
2021;enero;2;ENVASES;15;Ciudad Lineal;429,3
2021;enero;2;ENVASES;16;Hortaleza;383,36
2021;enero;2;ENVASES;19;Vicálvaro;146,9
2021;enero;2;ENVASES;20;San Blas - Canillejas;315,58
2021;enero;2;ENVASES;21;Barajas;113,24
2021;enero;2;VIDRIO;3;Retiro;324,34
2021;enero;2;VIDRIO;4;Salamanca;214,58
2021;enero;2;VIDRIO;5;Chamartín;299,5
2021;enero;2;VIDRIO;14;Moratalaz;248,26
2021;enero;2;VIDRIO;15;Ciudad Lineal;153,1
2021;enero;2;VIDRIO;16;Hortaleza;179,86
2021;enero;2;VIDRIO;19;Vicálvaro;139,52
2021;enero;2;VIDRIO;20;San Blas - Canillejas;154,5
2021;enero;2;VIDRIO;21;Barajas;152,16
2021;enero;2;VIDRIO COMERCIAL;4;Salamanca;26,96
2021;enero;2;CLINICOS;3;Retiro;176,66
2021;enero;2;CLINICOS;4;Salamanca;96,56
2021;enero;2;CLINICOS;15;Ciudad Lineal;95,54
2021;enero;2;ORGANICA;3;Retiro;413,8
2021;enero;2;ORGANICA;4;Salamanca;460,6
2021;enero;2;ORGANICA;5;Chamartín;528,88
2021;enero;2;ORGANICA;14;Moratalaz;320,26
2021;enero;2;ORGANICA;15;Ciudad Lineal;756,36
2021;enero;2;ORGANICA;16;Hortaleza;645,8
2021;enero;2;ORGANICA;19;Vicálvaro;109,64
2021;enero;2;ORGANICA;20;San Blas - Canillejas;519,98
2021;enero;2;ORGANICA;21;Barajas;144,46
2021;enero;2;PAPEL-CARTON;3;Retiro;271,8
2021;enero;2;PAPEL-CARTON;4;Salamanca;370,97
2021;enero;2;PAPEL-CARTON;5;Chamartín;232,25
2021;enero;2;PAPEL-CARTON;14;Moratalaz;115,6
2021;enero;2;PAPEL-CARTON;15;Ciudad Lineal;349,53
2021;enero;2;PAPEL-CARTON;16;Hortaleza;256,97
2021;enero;2;PAPEL-CARTON;19;Vicálvaro;50,79
2021;enero;2;PAPEL-CARTON;20;San Blas - Canillejas;296,79
2021;enero;2;PAPEL-CARTON;21;Barajas;55,15
2021;enero;2;CARTON COMERCIAL;3;Retiro;64,67
2021;enero;2;CARTON COMERCIAL;4;Salamanca;140,64
2021;enero;2;CARTON COMERCIAL;5;Chamartín;26,25
2021;enero;2;CARTON COMERCIAL;15;Ciudad Lineal;30,06
2021;enero;2;CARTON COMERCIAL;16;Hortaleza;20,03
2021;enero;2;CARTON COMERCIAL;19;Vicálvaro;2,3
2021;enero;2;CARTON COMERCIAL;20;San Blas - Canillejas;26,29
2021;enero;2;RCD;3;Retiro;12,325
2021;enero;2;RCD;4;Salamanca;9,845
2021;enero;2;RCD;5;Chamartín;38,005
2021;enero;2;RCD;14;Moratalaz;21,285
2021;enero;2;RCD;15;Ciudad Lineal;34,14
2021;enero;2;RCD;16;Hortaleza;23,4
2021;enero;2;RCD;19;Vicálvaro;17,66
2021;enero;2;RCD;20;San Blas - Canillejas;9,28
2021;enero;2;RCD;21;Barajas;9,54
2021;enero;2;PUNTOS LIMPIOS;3;Retiro;4,6
2021;enero;2;PUNTOS LIMPIOS;5;Chamartín;93,46
2021;enero;2;PUNTOS LIMPIOS;14;Moratalaz;30,4
2021;enero;2;PUNTOS LIMPIOS;15;Ciudad Lineal;50,02
2021;enero;2;PUNTOS LIMPIOS;16;Hortaleza;50,92
2021;enero;2;PUNTOS LIMPIOS;19;Vicálvaro;25,54
2021;enero;2;PUNTOS LIMPIOS;20;San Blas - Canillejas;47,22
2021;enero;2;PUNTOS LIMPIOS;21;Barajas;24,98
2021;enero;2;CONTENEDORES DE ROPA;14;Moratalaz;0,18
2021;enero;2;CONTENEDORES DE ROPA;19;Vicálvaro;0,18
2021;enero;3;RESTO;2;Arganzuela;2193
2021;enero;3;RESTO;11;Carabanchel;5138,92
2021;enero;3;RESTO;12;Usera;2296,4
2021;enero;3;RESTO;13;Puente de Vallecas;4224,24
2021;enero;3;RESTO;17;Villaverde;2824,74
2021;enero;3;RESTO;18;Villa de Vallecas;4646,04
2021;enero;3;ENVASES;2;Arganzuela;201,88
2021;enero;3;ENVASES;11;Carabanchel;459,14
2021;enero;3;ENVASES;12;Usera;233,36
2021;enero;3;ENVASES;13;Puente de Vallecas;818,96
2021;enero;3;ENVASES;17;Villaverde;342,16
2021;enero;3;ENVASES;18;Villa de Vallecas;206,54
2021;enero;3;VIDRIO;2;Arganzuela;326,92
2021;enero;3;VIDRIO;11;Carabanchel;331,54
2021;enero;3;VIDRIO;12;Usera;139,22
2021;enero;3;VIDRIO;13;Puente de Vallecas;240,46
2021;enero;3;VIDRIO;17;Villaverde;138
2021;enero;3;VIDRIO;18;Villa de Vallecas;110,64
2021;enero;3;VIDRIO COMERCIAL;13;Puente de Vallecas;4,14
2021;enero;3;CLINICOS;12;Usera;153,06
2021;enero;3;CLINICOS;13;Puente de Vallecas;29,86
2021;enero;3;ORGANICA;2;Arganzuela;402,48
2021;enero;3;ORGANICA;11;Carabanchel;724,36
2021;enero;3;ORGANICA;12;Usera;365,3
2021;enero;3;ORGANICA;13;Puente de Vallecas;632,98
2021;enero;3;ORGANICA;17;Villaverde;484,82
2021;enero;3;ORGANICA;18;Villa de Vallecas;813,28
2021;enero;3;PAPEL-CARTON;2;Arganzuela;348,3
2021;enero;3;PAPEL-CARTON;11;Carabanchel;293,14
2021;enero;3;PAPEL-CARTON;12;Usera;134,5
2021;enero;3;PAPEL-CARTON;13;Puente de Vallecas;252,65
2021;enero;3;PAPEL-CARTON;17;Villaverde;149,56
2021;enero;3;PAPEL-CARTON;18;Villa de Vallecas;153,3
2021;enero;3;CARTON COMERCIAL;2;Arganzuela;20,84
2021;enero;3;CARTON COMERCIAL;11;Carabanchel;25,94
2021;enero;3;CARTON COMERCIAL;12;Usera;12,56
2021;enero;3;CARTON COMERCIAL;13;Puente de Vallecas;20,8
2021;enero;3;CARTON COMERCIAL;17;Villaverde;11,02
2021;enero;3;RCD;2;Arganzuela;37,67
2021;enero;3;RCD;11;Carabanchel;25,02
2021;enero;3;RCD;12;Usera;30,54
2021;enero;3;RCD;13;Puente de Vallecas;17,89
2021;enero;3;RCD;17;Villaverde;35,86
2021;enero;3;RCD;18;Villa de Vallecas;32,96
2021;enero;3;PUNTOS LIMPIOS;2;Arganzuela;61,36
2021;enero;3;PUNTOS LIMPIOS;11;Carabanchel;24,52
2021;enero;3;PUNTOS LIMPIOS;12;Usera;34,14
2021;enero;3;PUNTOS LIMPIOS;13;Puente de Vallecas;33,2
2021;enero;3;PUNTOS LIMPIOS;17;Villaverde;22,36
2021;enero;3;PUNTOS LIMPIOS;18;Villa de Vallecas;64,74
2021;enero;3;ANIMALES MUERTOS;99;Sin Distrito;6,42
2021;febrero;1;RESTO;1;Centro;3159,48
2021;febrero;1;RESTO;6;Tetuán;2409,06
2021;febrero;1;RESTO;7;Chamberí;2165,62
2021;febrero;1;RESTO;8;Fuencarral - El Pardo;3472,98
2021;febrero;1;RESTO;9;Moncloa - Aravaca;2995,66
2021;febrero;1;RESTO;10;Latina;3377,3
2021;febrero;1;ENVASES;1;Centro;213,04
2021;febrero;1;ENVASES;6;Tetuán;333,96
2021;febrero;1;ENVASES;7;Chamberí;323,96
2021;febrero;1;ENVASES;8;Fuencarral - El Pardo;657,96
2021;febrero;1;ENVASES;9;Moncloa - Aravaca;305,7
2021;febrero;1;ENVASES;10;Latina;565,26
2021;febrero;1;VIDRIO;1;Centro;482,38
2021;febrero;1;VIDRIO;6;Tetuán;219,4
2021;febrero;1;VIDRIO;7;Chamberí;227,06
2021;febrero;1;VIDRIO;8;Fuencarral - El Pardo;413,26
2021;febrero;1;VIDRIO;9;Moncloa - Aravaca;187,06
2021;febrero;1;VIDRIO;10;Latina;178,48
2021;febrero;1;VIDRIO COMERCIAL;1;Centro;24,36
2021;febrero;1;CLINICOS;1;Centro;147,5
2021;febrero;1;CLINICOS;6;Tetuán;12,1
2021;febrero;1;CLINICOS;8;Fuencarral - El Pardo;273,68
2021;febrero;1;CLINICOS;9;Moncloa - Aravaca;217,08
2021;febrero;1;CLINICOS;10;Latina;21,08
2021;febrero;1;ORGANICA;1;Centro;616,04
2021;febrero;1;ORGANICA;6;Tetuán;748,42
2021;febrero;1;ORGANICA;7;Chamberí;757,76
2021;febrero;1;ORGANICA;8;Fuencarral - El Pardo;1411,28
2021;febrero;1;ORGANICA;9;Moncloa - Aravaca;960,12
2021;febrero;1;ORGANICA;10;Latina;1227,76
2021;febrero;1;PAPEL-CARTON;1;Centro;614,08
2021;febrero;1;PAPEL-CARTON;6;Tetuán;355,36
2021;febrero;1;PAPEL-CARTON;7;Chamberí;257,3
2021;febrero;1;PAPEL-CARTON;8;Fuencarral - El Pardo;460,53
2021;febrero;1;PAPEL-CARTON;9;Moncloa - Aravaca;228,24
2021;febrero;1;PAPEL-CARTON;10;Latina;288,22
2021;febrero;1;CARTON COMERCIAL;1;Centro;84,46
2021;febrero;1;CARTON COMERCIAL;6;Tetuán;61,58
2021;febrero;1;CARTON COMERCIAL;7;Chamberí;64,8
2021;febrero;1;CARTON COMERCIAL;8;Fuencarral - El Pardo;1,08
2021;febrero;1;CARTON COMERCIAL;9;Moncloa - Aravaca;5,04
2021;febrero;1;CARTON COMERCIAL;10;Latina;2,8
2021;febrero;1;RCD;1;Centro;107,27
2021;febrero;1;RCD;6;Tetuán;137,625
2021;febrero;1;RCD;8;Fuencarral - El Pardo;127,445
2021;febrero;1;RCD;9;Moncloa - Aravaca;126,57
2021;febrero;1;RCD;10;Latina;93,85
2021;febrero;1;PUNTOS LIMPIOS;8;Fuencarral - El Pardo;137,8
2021;febrero;1;PUNTOS LIMPIOS;9;Moncloa - Aravaca;369,76
2021;febrero;1;PUNTOS LIMPIOS;10;Latina;105,58
2021;febrero;1;CAMA DE CABALLO;9;Moncloa - Aravaca;43,23
2021;febrero;2;RESTO;3;Retiro;1933,1
2021;febrero;2;RESTO;4;Salamanca;2296,62
2021;febrero;2;RESTO;5;Chamartín;2107,84
2021;febrero;2;RESTO;14;Moratalaz;1241,36
2021;febrero;2;RESTO;15;Ciudad Lineal;3112,2
2021;febrero;2;RESTO;16;Hortaleza;2993,24
2021;febrero;2;RESTO;19;Vicálvaro;2102,98
2021;febrero;2;RESTO;20;San Blas - Canillejas;2367,18
2021;febrero;2;RESTO;21;Barajas;763,84
2021;febrero;2;ENVASES;3;Retiro;257,86
2021;febrero;2;ENVASES;4;Salamanca;323
2021;febrero;2;ENVASES;5;Chamartín;347,3
2021;febrero;2;ENVASES;14;Moratalaz;224,42
2021;febrero;2;ENVASES;15;Ciudad Lineal;577,82
2021;febrero;2;ENVASES;16;Hortaleza;547,78
2021;febrero;2;ENVASES;19;Vicálvaro;203,76
2021;febrero;2;ENVASES;20;San Blas - Canillejas;437,28
2021;febrero;2;ENVASES;21;Barajas;167,38
2021;febrero;2;VIDRIO;3;Retiro;299,52
2021;febrero;2;VIDRIO;4;Salamanca;217,68
2021;febrero;2;VIDRIO;5;Chamartín;283,5
2021;febrero;2;VIDRIO;14;Moratalaz;198,46
2021;febrero;2;VIDRIO;15;Ciudad Lineal;173,72
2021;febrero;2;VIDRIO;16;Hortaleza;176,92
2021;febrero;2;VIDRIO;19;Vicálvaro;123,34
2021;febrero;2;VIDRIO;20;San Blas - Canillejas;145,6
2021;febrero;2;VIDRIO;21;Barajas;145,38
2021;febrero;2;VIDRIO COMERCIAL;4;Salamanca;33,88
2021;febrero;2;CLINICOS;3;Retiro;169,78
2021;febrero;2;CLINICOS;4;Salamanca;105,52
2021;febrero;2;CLINICOS;15;Ciudad Lineal;111,88
2021;febrero;2;ORGANICA;3;Retiro;632,22
2021;febrero;2;ORGANICA;4;Salamanca;740,04
2021;febrero;2;ORGANICA;5;Chamartín;832,92
2021;febrero;2;ORGANICA;14;Moratalaz;432,16
2021;febrero;2;ORGANICA;15;Ciudad Lineal;1089,72
2021;febrero;2;ORGANICA;16;Hortaleza;992,3
2021;febrero;2;ORGANICA;19;Vicálvaro;143,5
2021;febrero;2;ORGANICA;20;San Blas - Canillejas;771,74
2021;febrero;2;ORGANICA;21;Barajas;217,7
2021;febrero;2;PAPEL-CARTON;3;Retiro;235,89
2021;febrero;2;PAPEL-CARTON;4;Salamanca;418,23
2021;febrero;2;PAPEL-CARTON;5;Chamartín;263,86
2021;febrero;2;PAPEL-CARTON;14;Moratalaz;164
2021;febrero;2;PAPEL-CARTON;15;Ciudad Lineal;371,71
2021;febrero;2;PAPEL-CARTON;16;Hortaleza;266,84
2021;febrero;2;PAPEL-CARTON;19;Vicálvaro;25,88
2021;febrero;2;PAPEL-CARTON;20;San Blas - Canillejas;299,96
2021;febrero;2;PAPEL-CARTON;21;Barajas;31,61
2021;febrero;2;CARTON COMERCIAL;3;Retiro;49,13
2021;febrero;2;CARTON COMERCIAL;4;Salamanca;97,42
2021;febrero;2;CARTON COMERCIAL;5;Chamartín;32,25
2021;febrero;2;CARTON COMERCIAL;14;Moratalaz;2,56
2021;febrero;2;CARTON COMERCIAL;15;Ciudad Lineal;41
2021;febrero;2;CARTON COMERCIAL;16;Hortaleza;27,43
2021;febrero;2;CARTON COMERCIAL;19;Vicálvaro;3
2021;febrero;2;CARTON COMERCIAL;20;San Blas - Canillejas;30,12
2021;febrero;2;CARTON COMERCIAL;21;Barajas;2,04
2021;febrero;2;RCD;3;Retiro;52,75
2021;febrero;2;RCD;4;Salamanca;51,685
2021;febrero;2;RCD;5;Chamartín;88,575
2021;febrero;2;RCD;14;Moratalaz;60,365
2021;febrero;2;RCD;15;Ciudad Lineal;67,925
2021;febrero;2;RCD;16;Hortaleza;49,965
2021;febrero;2;RCD;19;Vicálvaro;28,54
2021;febrero;2;RCD;20;San Blas - Canillejas;43,86
2021;febrero;2;RCD;21;Barajas;16,82
2021;febrero;2;PUNTOS LIMPIOS;3;Retiro;2,48
2021;febrero;2;PUNTOS LIMPIOS;5;Chamartín;109,76
2021;febrero;2;PUNTOS LIMPIOS;14;Moratalaz;52
2021;febrero;2;PUNTOS LIMPIOS;15;Ciudad Lineal;68,84
2021;febrero;2;PUNTOS LIMPIOS;16;Hortaleza;70,56
2021;febrero;2;PUNTOS LIMPIOS;19;Vicálvaro;35,66
2021;febrero;2;PUNTOS LIMPIOS;20;San Blas - Canillejas;65,98
2021;febrero;2;PUNTOS LIMPIOS;21;Barajas;36,88
2021;febrero;3;RESTO;2;Arganzuela;1749,88
2021;febrero;3;RESTO;11;Carabanchel;4308,7
2021;febrero;3;RESTO;12;Usera;1947,54
2021;febrero;3;RESTO;13;Puente de Vallecas;3970,36
2021;febrero;3;RESTO;17;Villaverde;2459,34
2021;febrero;3;RESTO;18;Villa de Vallecas;3701,32
2021;febrero;3;ENVASES;2;Arganzuela;326,6
2021;febrero;3;ENVASES;11;Carabanchel;695,64
2021;febrero;3;ENVASES;12;Usera;364,1
2021;febrero;3;ENVASES;13;Puente de Vallecas;744,34
2021;febrero;3;ENVASES;17;Villaverde;448,92
2021;febrero;3;ENVASES;18;Villa de Vallecas;293,46
2021;febrero;3;VIDRIO;2;Arganzuela;245,46
2021;febrero;3;VIDRIO;11;Carabanchel;245,72
2021;febrero;3;VIDRIO;12;Usera;125,02
2021;febrero;3;VIDRIO;13;Puente de Vallecas;202,5
2021;febrero;3;VIDRIO;17;Villaverde;109,86
2021;febrero;3;VIDRIO;18;Villa de Vallecas;97,32
2021;febrero;3;VIDRIO COMERCIAL;13;Puente de Vallecas;2,36
2021;febrero;3;CLINICOS;12;Usera;142,92
2021;febrero;3;CLINICOS;13;Puente de Vallecas;31,9
2021;febrero;3;ORGANICA;2;Arganzuela;633,68
2021;febrero;3;ORGANICA;11;Carabanchel;1030,1
2021;febrero;3;ORGANICA;12;Usera;538,44
2021;febrero;3;ORGANICA;13;Puente de Vallecas;898,4
2021;febrero;3;ORGANICA;17;Villaverde;675,6
2021;febrero;3;ORGANICA;18;Villa de Vallecas;944,84
2021;febrero;3;PAPEL-CARTON;2;Arganzuela;334,66
2021;febrero;3;PAPEL-CARTON;11;Carabanchel;289,72
2021;febrero;3;PAPEL-CARTON;12;Usera;136,96
2021;febrero;3;PAPEL-CARTON;13;Puente de Vallecas;236,38
2021;febrero;3;PAPEL-CARTON;17;Villaverde;135,2
2021;febrero;3;PAPEL-CARTON;18;Villa de Vallecas;145,24
2021;febrero;3;CARTON COMERCIAL;2;Arganzuela;28,7
2021;febrero;3;CARTON COMERCIAL;11;Carabanchel;33,56
2021;febrero;3;CARTON COMERCIAL;12;Usera;14,24
2021;febrero;3;CARTON COMERCIAL;13;Puente de Vallecas;23,46
2021;febrero;3;CARTON COMERCIAL;17;Villaverde;11,08
2021;febrero;3;RCD;2;Arganzuela;142,38
2021;febrero;3;RCD;11;Carabanchel;63,21
2021;febrero;3;RCD;12;Usera;52,61
2021;febrero;3;RCD;13;Puente de Vallecas;68,04
2021;febrero;3;RCD;17;Villaverde;51,52
2021;febrero;3;RCD;18;Villa de Vallecas;70,42
2021;febrero;3;PUNTOS LIMPIOS;2;Arganzuela;87,14
2021;febrero;3;PUNTOS LIMPIOS;11;Carabanchel;39,28
2021;febrero;3;PUNTOS LIMPIOS;12;Usera;35,12
2021;febrero;3;PUNTOS LIMPIOS;13;Puente de Vallecas;40,7
2021;febrero;3;PUNTOS LIMPIOS;17;Villaverde;49,88
2021;febrero;3;PUNTOS LIMPIOS;18;Villa de Vallecas;84,36
2021;febrero;3;ANIMALES MUERTOS;99;Sin Distrito;6,78
2021;febrero;3;PILAS;99;Sin Distrito;5,61
2021;febrero;3;CONTENEDORES DE ROPA;2;Arganzuela;0,18
2021;marzo;1;RESTO;1;Centro;3541,24
2021;marzo;1;RESTO;6;Tetuán;2652,62
2021;marzo;1;RESTO;7;Chamberí;2351,46
2021;marzo;1;RESTO;8;Fuencarral - El Pardo;3717,42
2021;marzo;1;RESTO;9;Moncloa - Aravaca;2831,5
2021;marzo;1;RESTO;10;Latina;3598,9
2021;marzo;1;ENVASES;1;Centro;240,58
2021;marzo;1;ENVASES;6;Tetuán;371,44
2021;marzo;1;ENVASES;7;Chamberí;355,18
2021;marzo;1;ENVASES;8;Fuencarral - El Pardo;718,38
2021;marzo;1;ENVASES;9;Moncloa - Aravaca;332,64
2021;marzo;1;ENVASES;10;Latina;601,72
2021;marzo;1;VIDRIO;1;Centro;594,9
2021;marzo;1;VIDRIO;6;Tetuán;282,04
2021;marzo;1;VIDRIO;7;Chamberí;252,14
2021;marzo;1;VIDRIO;8;Fuencarral - El Pardo;460,3
2021;marzo;1;VIDRIO;9;Moncloa - Aravaca;241,8
2021;marzo;1;VIDRIO;10;Latina;205,46
2021;marzo;1;VIDRIO COMERCIAL;1;Centro;34,18
2021;marzo;1;CLINICOS;1;Centro;175,96
2021;marzo;1;CLINICOS;6;Tetuán;12,4
2021;marzo;1;CLINICOS;8;Fuencarral - El Pardo;317,44
2021;marzo;1;CLINICOS;9;Moncloa - Aravaca;223,32
2021;marzo;1;CLINICOS;10;Latina;24,02
2021;marzo;1;ORGANICA;1;Centro;706,58
2021;marzo;1;ORGANICA;6;Tetuán;809,38
2021;marzo;1;ORGANICA;7;Chamberí;828,12
2021;marzo;1;ORGANICA;8;Fuencarral - El Pardo;1515,48
2021;marzo;1;ORGANICA;9;Moncloa - Aravaca;1001,48
2021;marzo;1;ORGANICA;10;Latina;1308,08
2021;marzo;1;PAPEL-CARTON;1;Centro;404,15
2021;marzo;1;PAPEL-CARTON;6;Tetuán;370,78
2021;marzo;1;PAPEL-CARTON;7;Chamberí;307,25
2021;marzo;1;PAPEL-CARTON;8;Fuencarral - El Pardo;605,16
2021;marzo;1;PAPEL-CARTON;9;Moncloa - Aravaca;260,95
2021;marzo;1;PAPEL-CARTON;10;Latina;332,46
2021;marzo;1;CARTON COMERCIAL;1;Centro;104,78
2021;marzo;1;CARTON COMERCIAL;6;Tetuán;79,66
2021;marzo;1;CARTON COMERCIAL;7;Chamberí;75,7
2021;marzo;1;CARTON COMERCIAL;8;Fuencarral - El Pardo;2,22
2021;marzo;1;CARTON COMERCIAL;9;Moncloa - Aravaca;1,06
2021;marzo;1;CARTON COMERCIAL;10;Latina;3,34
2021;marzo;1;RCD;1;Centro;109,15
2021;marzo;1;RCD;6;Tetuán;88,34
2021;marzo;1;RCD;7;Chamberí;85,73
2021;marzo;1;RCD;8;Fuencarral - El Pardo;161,4
2021;marzo;1;RCD;9;Moncloa - Aravaca;126,935
2021;marzo;1;RCD;10;Latina;107,385
2021;marzo;1;PUNTOS LIMPIOS;8;Fuencarral - El Pardo;152,22
2021;marzo;1;PUNTOS LIMPIOS;9;Moncloa - Aravaca;178,62
2021;marzo;1;PUNTOS LIMPIOS;10;Latina;85,76
2021;marzo;1;CONTENEDORES DE ROPA;8;Fuencarral - El Pardo;1,08
2021;marzo;1;CAMA DE CABALLO;9;Moncloa - Aravaca;57,41
2021;marzo;2;RESTO;3;Retiro;1820,22
2021;marzo;2;RESTO;4;Salamanca;2491,54
2021;marzo;2;RESTO;5;Chamartín;2253,68
2021;marzo;2;RESTO;14;Moratalaz;1312,66
2021;marzo;2;RESTO;15;Ciudad Lineal;3286,22
2021;marzo;2;RESTO;16;Hortaleza;3228,44
2021;marzo;2;RESTO;19;Vicálvaro;2004,16
2021;marzo;2;RESTO;20;San Blas - Canillejas;2611,02
2021;marzo;2;RESTO;21;Barajas;840,38
2021;marzo;2;ENVASES;3;Retiro;288,72
2021;marzo;2;ENVASES;4;Salamanca;352,64
2021;marzo;2;ENVASES;5;Chamartín;371,14
2021;marzo;2;ENVASES;14;Moratalaz;249,74
2021;marzo;2;ENVASES;15;Ciudad Lineal;620,66
2021;marzo;2;ENVASES;16;Hortaleza;573,66
2021;marzo;2;ENVASES;19;Vicálvaro;217,44
2021;marzo;2;ENVASES;20;San Blas - Canillejas;477,42
2021;marzo;2;ENVASES;21;Barajas;177,98
2021;marzo;2;VIDRIO;3;Retiro;326,44
2021;marzo;2;VIDRIO;4;Salamanca;218,08
2021;marzo;2;VIDRIO;5;Chamartín;497,06
2021;marzo;2;VIDRIO;14;Moratalaz;263,4
2021;marzo;2;VIDRIO;15;Ciudad Lineal;193,68
